Query,Time Taken (ms)
cse.du.ac.bd,69.80633735656738
cse.du.ac.bd,70.90640068054199
cse.du.ac.bd,50.80986022949219
cse.du.ac.bd,67.74067878723145
cse.du.ac.bd,80.60526847839355
cse.du.ac.bd,37.72616386413574
cse.du.ac.bd,55.817365646362305
cse.du.ac.bd,49.02982711791992
cse.du.ac.bd,99.44748878479004
cse.du.ac.bd,49.147844314575195
cse.du.ac.bd,41.71133041381836
cse.du.ac.bd,37.61458396911621
cse.du.ac.bd,68.2823657989502
cse.du.ac.bd,36.43202781677246
cse.du.ac.bd,37.72473335266113
ns1.cse.du.ac.bd,66.67590141296387
ns1.cse.du.ac.bd,64.30387496948242
ns1.cse.du.ac.bd,29.38079833984375
ns1.cse.du.ac.bd,100.77548027038574
ns2.cse.du.ac.bd,52.74176597595215
ns2.cse.du.ac.bd,52.83713340759277
ns2.cse.du.ac.bd,53.75099182128906
ns2.cse.du.ac.bd,80.0175666809082
ns2.cse.du.ac.bd,35.51077842712402
ns2.cse.du.ac.bd,69.04911994934082
cse.du.ac.bd,56.92315101623535
ns1.cse.du.ac.bd,59.4480037689209
